time,energy
379363653.826635,3940
379363657.156842,3114
379363659.904645,13047
379363659.244526,13224
379363663.856098,4234
379363666.386427,4911
379363664.78803,1727
379363667.653015,899
379363668.617501,13223
379363669.2269,5077
379363672.296483,2459
379363675.488299,13050
379363678.816546,11498
379363680.701898,2858
379363684.089156,105
379363682.763995,13081
379363685.605333,1787
379363685.840696,7448
379363692.533448,192
379363692.052347,1810
379363695.120083,3671
379363695.659233,2039
379363698.910455,13003
379363700.282395,763
379363702.228027,269
379363702.129365,118
379363705.529737,13201
379363707.64022,654
379363707.575775,4498
379363709.392389,6228
379363710.353528,3840
379363711.479339,5048
379363713.678727,1731
379363717.78271,1404
379363719.916342,1847
379363722.001009,1082
379363725.323181,1687
379363726.165529,1908
379363727.877902,1392
379363730.922921,113
379363729.700433,12912
379363731.602423,2434
379363734.868966,7249
379363734.956605,108
379363739.256687,1450
379363737.886527,1490
379363740.664041,269
379363743.393485,2985
379363742.885121,7991
379363745.065431,239
379363745.250489,3050
379363749.708077,958
379363747.769156,515
379363751.944251,95
379363750.716191,504
379363754.674009,1559
379363755.576349,12944
379363758.017501,2141
379363757.825934,220
379363762.562607,1761
379363763.878568,3008
379363767.537069,3382
379363766.946332,259
379363768.509789,4830
379363773.026393,10811
379363773.611377,314
379363773.29752,7413
379363777.80018,2228
379363779.199452,634
379363778.457932,265
379363781.752174,5643
379363781.481924,1402
379363785.325488,1046
379363786.124186,8623
379363787.595089,118
379363786.392069,3360
379363790.25219,2204
379363790.949856,6682
379363792.146498,6799
379363795.238785,1432
379363796.922133,8873
379363797.780741,5501
379363799.32209,907
379363800.599294,10838
379363802.375889,2471
379363804.006933,3407
379363806.454103,1023
379363807.474955,12867
379363811.708748,345
379363813.020808,594
379363813.85174,10890
379363816.522466,2205
379363818.834158,6396
379363821.885053,7295
379363820.023264,5727
379363823.775714,3206
379363827.703125,4383
379363827.138102,3255
379363828.65046,1044
379363828.882712,83
379363832.360606,9104
379363833.463295,12841
379363835.251587,4297
379363835.822116,6482
379363840.309895,1106
379363842.777894,634
379363841.358461,1178
